Date,^NDX_DCA,TQQQ_DCA,Invested,NoRebalance,MonthlyRebal,^NDX,TQQQ_real,TQQQ_sim,TQQQ_combined,^NDX_anchored,TQQQ_combined_anchored
2019-11-01,5618681.99919895,15383394.461643241,410000.0,12128490.632985542,24260525.259255517,8161.169921875,8.493995666503906,7.9388295951067915,8.493995666503906,72776.61821200572,333517.05437642604
2019-11-04,5652754.306439315,15657905.47580816,410000.0,12322855.419523565,24598178.200339127,8210.66015625,8.645567893981934,8.08314514792968,8.645567893981934,73217.94365024689,339468.5435010434
2019-11-05,5652423.520394833,15677353.640274748,410000.0,12335710.601145761,24618149.38093791,8210.1796875,8.656306266784668,8.081613861420639,8.656306266784668,73213.65910634983,339890.1861067828
2019-11-06,5642682.140316581,15577931.37640351,410000.0,12266181.962216157,24499598.958987843,8196.0302734375,8.601409912109375,8.039718085178668,8.601409912109375,73087.48277195076,337734.67870765517
2019-11-07,5658943.770515538,15735713.678388558,410000.0,12376790.71165653,24688891.99186375,8219.650390625,8.688529968261719,8.109115346988863,8.688529968261719,73298.11338828801,341155.45093851717
2019-11-08,5683893.240687658,15921607.73213721,410000.0,12509036.57624449,24920245.169271182,8255.8896484375,8.79117202758789,8.216258494437506,8.79117202758789,73621.27424088068,345185.6951987765
2019-11-11,5674268.84591782,15854597.924249982,410000.0,12461155.237483546,24835940.700017706,8241.91015625,8.754172325134277,8.174407222509824,8.754172325134277,73496.61317200617,343732.900511843
2019-11-12,5689332.385199567,15984289.20075683,410000.0,12552637.272069616,24993975.204532366,8263.7900390625,8.82578182220459,8.239395735337096,8.82578182220459,73691.72537935045,346544.65006599575
2019-11-13,5686591.970733493,15960510.969832184,410000.0,12535871.6459299,24965031.200430777,8259.8095703125,8.812652587890625,8.227375143481996,8.812652587890625,73656.22984901635,346029.1301944847
2019-11-14,5685229.159123401,15956187.812135926,410000.0,12532535.270163687,24958524.485821065,8257.830078125,8.81026554107666,8.221345716891008,8.81026554107666,73638.57787649742,345935.40271294245
2019-11-15,5724946.343659439,16256636.045287944,410000.0,12746073.16246808,25331571.659738313,8315.51953125,8.97615909576416,8.393535248323323,8.97615909576416,74153.01923051017,352449.21928075596
2019-11-18,5733869.498908149,16340935.029579302,410000.0,12805246.872924415,25433044.222766876,8328.48046875,9.022705078125,8.432666280213777,9.022705078125,74268.59741465983,354276.84900174383
2019-11-19,5740932.991150686,16407946.56465698,410000.0,12852275.729055315,25513664.659300365,8338.740234375,9.05970573425293,8.46371349286971,9.05970573425293,74360.08810202243,355729.6811347347
2019-11-20,5703074.124962104,16120464.350212837,410000.0,12648001.289042246,25156924.241543252,8283.75,8.900971412658691,8.296152811189499,8.900971412658691,73869.71682795163,349496.9721194332
2019-11-21,5690592.330417777,15995094.504211798,410000.0,12560260.789763844,25007149.01838614,8265.6201171875,8.831748008728027,8.241566503726219,8.831748008728027,73708.04496321848,346778.91260076535
2019-11-22,5695018.946915479,16038329.53555528,410000.0,12590559.684119014,25058976.287660994,8272.0498046875,8.855620384216309,8.260684967315214,8.855620384216309,73765.38121732045,347716.2623083025
2019-11-25,5763782.776735575,16593830.255262932,410000.0,12983814.79008871,25741984.913008355,8371.9296875,9.162342071533203,8.559798213880248,9.162342071533203,74656.0525509759,359759.70071864995
2019-11-26,5773297.581819944,16693261.155086419,410000.0,13053273.661329692,25860218.31033998,8385.75,9.217243194580078,8.602070660736958,9.217243194580078,74779.29414697395,361915.39534806437
2019-11-27,5813889.466851654,17030453.637870956,410000.0,13291599.288083307,26273156.329679392,8444.7099609375,9.403425216674805,8.78339390290358,9.403425216674805,75305.06515873072,369225.839339901
2019-11-29,5785641.548845736,16803497.358364876,410000.0,13130879.122453671,25993884.05939061,8403.6796875,9.27811050415039,8.655244404676928,9.27811050415039,74939.18078508334,364305.3525122483
2019-12-02,5721636.712470151,16264119.918237105,411000.0,12749959.201064209,25333185.87420835,8309.259765625,8.97973918914795,8.36338502717119,8.97973918914795,74097.19824193277,352589.7917800407
2019-12-03,5684095.347734251,15898808.767233714,411000.0,12493904.634557655,24898437.680490922,8254.740234375,8.778043746948242,8.198644879350258,8.778043746948242,73611.02442753347,344670.2127733228
2019-12-04,5712871.367314808,16134422.394463781,411000.0,12660572.399465805,25185570.420650143,8296.5302734375,8.908130645751953,8.323049169771966,8.908130645751953,73983.68395392863,349778.07967194525
2019-12-05,5721044.959210718,16218726.562199935,411000.0,12719499.711126233,25285175.701271236,8308.400390625,8.954676628112793,8.358657747786069,8.954676628112793,74089.53483008438,351605.7093929331
2019-12-06,5782308.232734114,16720224.690501448,411000.0,13074252.902509533,25896351.998709947,8397.3701171875,9.231563568115234,8.627065363595486,9.231563568115234,74882.91566695563,362477.68534520315
2019-12-09,5758462.593719645,16514871.57333284,411000.0,12929402.272008723,25647918.61567411,8362.740234375,9.118184089660645,8.520214176736356,9.118184089660645,74574.10629473356,358025.8359252617
2019-12-10,5752643.910817523,16478125.06433989,411000.0,12902965.037348455,25601173.126542334,8354.2900390625,9.097895622253418,8.49426789221522,9.097895622253418,74498.75231436534,357229.20850123867
2019-12-11,5785916.58272288,16726707.234839631,411000.0,13079777.382160384,25908408.98134567,8402.6103515625,9.235142707824707,8.641539704186533,9.235142707824707,74929.64506238564,362618.2203984305
2019-12-12,5830178.381634652,17109324.17100803,411000.0,13349609.283855079,26371046.13005493,8466.8896484375,9.446393013000488,8.839740944717422,9.446393013000488,75502.85085179938,370912.9714537188
2019-12-13,5844514.949238173,17262796.205911323,411000.0,13456702.834296295,26551571.627466016,8487.7099609375,9.5311279296875,8.904829662548288,9.5311279296875,75688.5144206715,374240.09109515324
2019-12-16,5901405.973110626,17757810.062578,411000.0,13805675.761302322,27149561.731705964,8570.330078125,9.804434776306152,9.164747175789577,9.804434776306152,76425.27309409028,384971.4945481386
2019-12-17,5905103.758535192,17781588.028301273,411000.0,13822760.334262036,27179710.41252651,8575.7001953125,9.8175630569458,9.181847613712288,9.8175630569458,76473.1607097201,385486.97697359225
2019-12-18,5908491.545945443,17822656.23351968,411000.0,13851268.40146707,27227355.89859755,8580.6201171875,9.840237617492676,9.197523103046414,9.840237617492676,76517.03374255208,386377.29443310027
2019-12-19,5950267.981167599,18185809.99100365,411000.0,14107296.395576345,27666114.253040932,8641.2900390625,10.040741920471191,9.392490702600128,10.040741920471191,77058.05320220263,394250.1033141904
2019-12-20,5975883.500385279,18401979.439812467,411000.0,14259947.874206582,27928391.51470495,8678.490234375,10.160093307495117,9.513662448244341,10.160093307495117,77389.7831425894,398936.4399452455
2019-12-23,5987947.19751507,18538162.962517284,411000.0,14354758.12585705,28087610.0212727,8696.009765625,10.235282897949219,9.571146870171294,10.235282897949219,77546.01224322569,401888.761998683
2019-12-24,5990357.247153486,18562160.29491547,411000.0,14371559.69805489,28116085.963021405,8699.509765625,10.24853229522705,9.582570622175522,10.24853229522705,77577.22322966273,402409.0000734199
2019-12-26,6044617.658809008,19044380.06527441,411000.0,14711126.363111334,28696908.143533755,8778.3095703125,10.514775276184082,9.842833132660544,10.514775276184082,78279.91455404644,412863.04057962797
